releve;parcelle;STCH;STF;STR;PS
141;14;19.25;19.25;0;0
142;14;28.375;28.425;0.35;0.35
143;14;30.025;30.2;0;0
144;14;22.85;22.95;0;0
151;15;22.1;22.275;2.625;2.625
152;15;19.05;19.45;3.35;3.35
153;15;25.325;25.325;4.55;4.55
154;15;10.025;10.75;7.375;7.375
451;45;25.75;31.45;0;0
452;45;24.6;25.975;0;0
453;45;21.25;22.175;0.475;0.475
454;45;27.125;29.15;0;0
455;45;14.35;15.375;17.425;17.425
456;45;7.95;8;8.65;8.65
457;45;17.475;17.475;19.3;19.3
458;45;20.4;20.975;7.225;6.75
501;50;17.275;18.85;7.95;7.95
502;50;22.925;22.925;3.5;3.5
503;50;12.725;14.3;7.7;7.7
504;50;23.6;24.3;1;1
551;55;4.7;8.875;7.25;7.25
552;55;1.05;4.6;8.425;8.425
553;55;2.5;8.725;9.725;9.725
554;55;15.6;19.5;3.05;3.05
611;61;11.3;14.025;8.75;8.75
612;61;15.3;17.8;6.725;6.725
613;61;15.925;17.65;10.65;10.65
614;61;16.7;17.625;5.825;5.825
751;75;7.375;15.2;16.65;16.65
752;75;8.925;10.9;21.05;21.05
753;75;6.4;12.45;17.975;17.975
754;75;6.325;7.525;27.975;27.975
771;77;12.725;19.775;0;0
772;77;17.375;27.775;0.85;0.85
773;77;15.975;32.45;0;0
774;77;15.275;32.4;0;0
791;79;26.575;26.575;0;0
792;79;22.775;23;0;0
793;79;25.8;25.8;0;0
794;79;19.2;22.925;0.7;0.7
1101;110;12.95;14.35;12.25;12.25
1102;110;13.525;18.55;7.675;7.675
1103;110;7.475;16.45;6.25;6.25
1104;110;10.3;12.85;12.025;12.025
1111;111;14.775;15.2;1.1;1.1
1112;111;11.75;21.225;0;0
1113;111;16.3;17.1;3.05;3.05
1114;111;14;17.05;1.725;1.725
1251;125;0.55;4.175;22.925;22.925
1252;125;0;0.175;26.075;26.075
1253;125;0.175;0.525;24.2;24.2
1254;125;0;2.8;25.625;25.625
1391;139;0.575;0.575;16.375;16.375
1392;139;0.175;0.75;22.825;22.825
1393;139;0;0.675;16.55;16.55
1394;139;0.65;0.825;17.025;17.025
1441;144;9.05;11.225;3.95;3.95
1442;144;0.4;7.9;13.25;13.25
1443;144;0;2.8;19.675;19.675
1444;144;6.1;12.05;15.85;15.85
1621;162;0;1.55;19.225;19.225
1622;162;0.7;0.7;21.675;21.675
1623;162;0;0;15.375;15.375
1624;162;0.4;0.4;21.2;21.2
1661;166;8.025;12.725;2.05;2.05
1662;166;9.7;12.8;8.375;8.375
1663;166;10.525;11.15;10.175;10.175
1664;166;19.3;20.925;4.15;4.15
2151;215;5.75;6.825;21.5;21.5
2152;215;10.275;11.025;25.275;25.275
2153;215;2.275;5.725;19.75;19.75
2154;215;5.325;6.7;24.475;24.475
2161;216;2.2;3.3;22.475;22.475
2162;216;4.55;5.275;17.9;17.9
2163;216;4.45;5.175;23.6;23.6
2164;216;9.325;10.375;13.175;13.175
2181;218;0;1.275;20.85;20.85
2182;218;1.375;2.175;25.175;25.175
2183;218;0.95;1.5;23.925;23.925
2184;218;1.4;1.4;23.375;23.375
2191;219;0;1.275;27.7;27.7
2192;219;0.95;3.1;15.7;15.7
2193;219;0;1.35;17.35;17.35
2194;219;3.45;4.875;21.875;21.875
2231;223;30.7;33.05;0;0
2232;223;32.05;39.8;0;0
2233;223;27.7;31.325;2.1;2.1
2234;223;25.975;31.275;0;0
2451;245;0.725;2.075;26.725;26.725
2452;245;6.9;6.95;29.375;29.375
2453;245;14.675;14.675;15.575;15.575
2454;245;11.95;13.6;15.525;15.525
2551;255;16.475;19.95;8.625;8.625
2552;255;14.625;26.175;3.45;3.45
2553;255;12.9;25.475;7.075;7.075
2554;255;14.65;16.725;8.35;8.35
