maille;X;Y
506;364384.688541931;6819431.69715391
702;384379.542703304;6808374.6975349
708;356632.188541931;6820434.19715387
771;360882.188541931;6828434.19715387
791;369328.75415126;6819691.87413385
1;399134.688541931;6810678.6135373
16;393384.688541931;6813181.69715391
25;392134.688541931;6822931.69715391
30;391134.688541931;6825181.69715391
53;389134.688541931;6817931.69715391
58;385881.167147318;6811433.4578512
143;377384.688541931;6808431.69715391
166;376384.688541931;6827680.63881846
168;376384.688541931;6824181.69715391
199;375101.762258634;6832977.59940553
242;373134.688541931;6808431.69715391
271;371384.688541931;6821931.69715391
354;369134.688541931;6842681.69715391
385;368134.688541931;6834681.69715391
452;366384.688541931;6814431.69715391
490;365384.688541931;6833681.69715391
682;358133.894790344;6819181.69715391
689;357299.78887213;6824933.81382477
182;375857.044995422;6804546.69891529
213;374884.737568349;6825425.98828603
260;372052.481346317;6819590.85254435
434;367020.47642526;6825425.20408333
443;366628.252802594;6819429.9450451
524;363848.248613753;6826686.6219619
695;356884.888293613;6822179.69477607
63;385134.764093656;6823931.70494821
