tarse;poids
17.33;10.79
17.16;11.1
16.895;10
17.31;11.1
16.535;10.48
16.79;11.49
16.88;10.32
18.145;11.29
17.575;10.06
18.11;14.01
17.92;12.47
16.76;10.58
16.75;10.76
17.905;11.48
18.185;12.46
17.57;11.61
16.97;12.08
16.53;10.77
16.585;11.01
17.72;10.56
17.81;10.42
16.96;10.7
18.085;10.78
17.39;10.19
18.215;11.08
17.22;9.88
17.51;10.08
17.265;9.28
17.935;10.28
17.415;10.29
16.745;10.71
17.895;11.62
16.91;9.96
17.2;10.31
16.975;10.53
18.58;12.22
17.93;12.15
17.08;10.93
16.78;10.26
17.12;11.17
17.325;10.41
17.78;11.14
16.38;10.27
17.23;11.06
17.36;11.48
17.105;10.23
16.995;10.94
16.79;10.53
15.57;8.69
17.06;10.93
17.165;11.01
17.32;10.63
17.275;10.73
16.76;9.86
15.97;9.69
17.01;10.24
16.615;10.62
17;10.95
17.975;11.45
16.49;10.29
16.57;10.7
