codesp;an;date_resc
BUFBUF;1983;72
BUFBUF;1984;82
BUFBUF;1985;58
BUFBUF;1986;65
BUFBUF;1987;85
BUFBUF;1988;14
BUFBUF;1989;65
BUFBUF;1990;36
BUFBUF;1991;47
BUFBUF;1992;55
BUFBUF;1993;72
BUFBUF;1994;53
BUFBUF;1995;47
BUFBUF;1996;56
BUFBUF;1997;41
BUFBUF;1998;41
BUFBUF;1999;58
BUFBUF;2000;43
BUFBUF;2001;34
BUFBUF;2002;54
BUFBUF;2003;59
BUFBUF;2004;51
BUFBUF;2005;70
BUFBUF;2006;57
BUFBUF;2007;55
BUFBUF;2008;56
BUFBUF;2009;57
BUFBUF;2010;53
BUFBUF;2011;54
BUFBUF;2012;66
BUFBUF;2013;63
BUFBUF;2014;20
LISHEL;1983;59
LISHEL;1984;72
LISHEL;1985;48
LISHEL;1986;66
LISHEL;1987;83
LISHEL;1988;65
LISHEL;1989;61
LISHEL;1990;34
LISHEL;1991;14
LISHEL;1992;18
LISHEL;1993;72
LISHEL;1994;49
LISHEL;1995;52
LISHEL;1996;29
LISHEL;1997;20
LISHEL;1998;40
LISHEL;1999;3
LISHEL;2000;57
LISHEL;2001;16
LISHEL;2002;54
LISHEL;2003;59
LISHEL;2004;22
LISHEL;2005;61
LISHEL;2006;47
LISHEL;2007;49
LISHEL;2008;17
LISHEL;2009;39
LISHEL;2010;49
LISHEL;2011;59
LISHEL;2012;65
LISHEL;2013;48
LISHEL;2014;10
ALYOBS;1983;81
ALYOBS;1984;119
ALYOBS;1985;89
ALYOBS;1986;97
ALYOBS;1987;111
ALYOBS;1988;79
ALYOBS;1989;49
ALYOBS;1990;42
ALYOBS;1991;55
ALYOBS;1992;42
ALYOBS;1993;71
ALYOBS;1994;53
ALYOBS;1995;41
ALYOBS;1996;60
ALYOBS;1997;55
ALYOBS;1998;40
ALYOBS;1999;57
ALYOBS;2000;54
ALYOBS;2001;63
ALYOBS;2002;33
ALYOBS;2003;56
ALYOBS;2004;51
ALYOBS;2005;77
ALYOBS;2006;61
ALYOBS;2007;60
ALYOBS;2008;57
ALYOBS;2009;67
ALYOBS;2010;59
ALYOBS;2011;56
ALYOBS;2012;69
ALYOBS;2013;68
ALYOBS;2014;65
PELPUN;1983;66
PELPUN;1984;67
PELPUN;1985;45
PELPUN;1986;64
PELPUN;1987;72
PELPUN;1988;25
PELPUN;1989;62
PELPUN;1990;29
PELPUN;1991;58
PELPUN;1992;45
PELPUN;1993;42
PELPUN;1994;13
PELPUN;1995;46
PELPUN;1996;13
PELPUN;1997;17
PELPUN;1998;49
PELPUN;1999;19
PELPUN;2000;35
PELPUN;2001;19
PELPUN;2002;25
PELPUN;2003;3
PELPUN;2004;22
PELPUN;2005;39
PELPUN;2006;47
PELPUN;2007;36
PELPUN;2008;58
PELPUN;2009;33
PELPUN;2010;48
PELPUN;2011;55
PELPUN;2012;70
PELPUN;2013;51
PELPUN;2014;22
RANTEM;1983;52
RANTEM;1984;113
RANTEM;1985;36
RANTEM;1986;137
RANTEM;1987;114
RANTEM;1988;159
RANTEM;1989;51
RANTEM;1990;128
RANTEM;1991;144
RANTEM;1992;64
RANTEM;1993;69
RANTEM;1994;68
RANTEM;1995;84
RANTEM;1996;67
RANTEM;1997;24
RANTEM;1998;8
RANTEM;1999;73
RANTEM;2000;57
RANTEM;2001;79
RANTEM;2002;55
RANTEM;2003;60
RANTEM;2004;12
RANTEM;2005;73
RANTEM;2006;66
RANTEM;2007;61
RANTEM;2008;49
RANTEM;2009;50
RANTEM;2010;50
RANTEM;2011;75
RANTEM;2012;75
RANTEM;2013;65
RANTEM;2014;76
HYLMER;1983;16
HYLMER;1984;42
HYLMER;1985;40
HYLMER;1986;67
HYLMER;1987;77
HYLMER;1988;48
HYLMER;1989;65
HYLMER;1990;48
HYLMER;1991;61
HYLMER;1992;64
HYLMER;1993;75
HYLMER;1994;56
HYLMER;1995;43
HYLMER;1996;57
HYLMER;1997;24
HYLMER;1998;49
HYLMER;1999;78
HYLMER;2000;32
HYLMER;2001;23
HYLMER;2002;35
HYLMER;2003;58
HYLMER;2004;73
HYLMER;2005;70
HYLMER;2006;73
HYLMER;2007;52
HYLMER;2008;38
HYLMER;2009;62
HYLMER;2010;76
HYLMER;2011;68
HYLMER;2012;72
HYLMER;2013;66
HYLMER;2014;47
TRIMAR;1983;52
TRIMAR;1984;84
TRIMAR;1985;48
TRIMAR;1986;89
TRIMAR;1987;87
TRIMAR;1988;75
TRIMAR;1989;76
TRIMAR;1990;62
TRIMAR;1991;95
TRIMAR;1992;101
TRIMAR;1993;72
TRIMAR;1994;62
TRIMAR;1995;52
TRIMAR;1996;27
TRIMAR;1997;17
TRIMAR;1998;44
TRIMAR;1999;3
TRIMAR;2000;0
TRIMAR;2001;16
TRIMAR;2002;56
TRIMAR;2003;55
TRIMAR;2004;9
TRIMAR;2005;53
TRIMAR;2006;47
TRIMAR;2007;51
TRIMAR;2008;16
TRIMAR;2009;33
TRIMAR;2010;50
TRIMAR;2011;59
TRIMAR;2012;58
TRIMAR;2013;64
TRIMAR;2014;10
