"secteur";"quadrat";"hveg";"periode";"richesse"
"Bazinghen";"I1Q1";40;"fin_90";20
"Bazinghen";"I1Q2";30;"fin_90";25
"Bazinghen";"I2Q1";90;"fin_90";18
"Bazinghen";"I2Q3";80;"fin_90";10
"Bazinghen";"I3Q2";40;"fin_90";9
"Bazinghen";"I3Q3";60;"fin_90";11
"Confluence";"I4Q1";60;"fin_90";13
"Slack";"I5Q2";60;"fin_90";23
"Slack";"I7Q1";40;"fin_90";11
"Bazinghen";"I1Q1";40;"fin_90";25
"Bazinghen";"I1Q2";50;"fin_90";20
"Bazinghen";"I2Q1";80;"fin_90";18
"Bazinghen";"I2Q3";75;"fin_90";9
"Bazinghen";"I3Q2";40;"fin_90";13
"Bazinghen";"I3Q3";80;"fin_90";10
"Confluence";"I4Q1";80;"fin_90";18
"Slack";"I5Q2";40;"fin_90";22
"Slack";"I7Q1";40;"fin_90";10
"Bazinghen";"I1Q1";70;"debut_10";13
"Bazinghen";"I1Q2";40;"debut_10";23
"Bazinghen";"I2Q1";90;"debut_10";14
"Bazinghen";"I2Q3";100;"debut_10";10
"Bazinghen";"I3Q2";50;"debut_10";13
"Bazinghen";"I3Q3";80;"debut_10";13
"Confluence";"I4Q1";80;"debut_10";14
"Confluence";"I4Q2";60;"debut_10";18
"Slack";"I5Q2";60;"debut_10";15
"Slack";"I7Q1";50;"debut_10";15
"Slack";"I7Q3";50;"debut_10";14
"Bazinghen";"I8Q1";25;"debut_10";12
"Confluence";"I9Q1";40;"debut_10";8
"Confluence";"I9Q2";40;"debut_10";20
"Bazinghen";"I1Q1";70;"debut_10";13
"Bazinghen";"I1Q2";50;"debut_10";21
"Bazinghen";"I2Q1";80;"debut_10";16
"Bazinghen";"I2Q3";85;"debut_10";9
"Bazinghen";"I3Q2";50;"debut_10";14
"Bazinghen";"I3Q3";65;"debut_10";13
"Confluence";"I4Q2";35;"debut_10";15
"Confluence";"I4Q3";35;"debut_10";17
"Slack";"I5Q2";50;"debut_10";19
"Slack";"I7Q1";30;"debut_10";12
"Slack";"I7Q3";40;"debut_10";13
"Bazinghen";"I8Q1";35;"debut_10";14
"Confluence";"I9Q1";25;"debut_10";9
"Confluence";"I9Q2";35;"debut_10";19
"Bazinghen";"I1Q1";70;"debut_10";14
"Bazinghen";"I1Q2";60;"debut_10";16
"Bazinghen";"I2Q1";90;"debut_10";12
"Bazinghen";"I2Q3";90;"debut_10";11
"Bazinghen";"I3Q2";60;"debut_10";13
"Bazinghen";"I3Q3";70;"debut_10";12
"Confluence";"I4Q1";90;"debut_10";14
"Confluence";"I4Q2";55;"debut_10";16
"Confluence";"I4Q3";45;"debut_10";15
"Slack";"I5Q2";50;"debut_10";21
"Slack";"I7Q1";30;"debut_10";14
"Slack";"I7Q3";40;"debut_10";15
"Bazinghen";"I8Q1";40;"debut_10";17
"Confluence";"I9Q1";30;"debut_10";10
"Confluence";"I9Q2";40;"debut_10";21
"Bazinghen";"I1Q1";60;"debut_10";13
"Bazinghen";"I1Q2";25;"debut_10";17
"Bazinghen";"I2Q1";50;"debut_10";19
"Bazinghen";"I2Q3";75;"debut_10";13
"Bazinghen";"I3Q2";60;"debut_10";13
"Bazinghen";"I3Q3";45;"debut_10";16
"Confluence";"I4Q1";25;"debut_10";11
"Confluence";"I4Q2";40;"debut_10";15
"Confluence";"I4Q3";30;"debut_10";17
"Slack";"I5Q2";15;"debut_10";18
"Slack";"I7Q1";15;"debut_10";13
"Slack";"I7Q3";20;"debut_10";17
"Bazinghen";"I8Q1";30;"debut_10";15
"Confluence";"I9Q1";20;"debut_10";8
"Confluence";"I9Q2";25;"debut_10";17
"Bazinghen";"I1Q1";60;"debut_10";11
"Bazinghen";"I1Q2";45;"debut_10";14
"Bazinghen";"I2Q1";70;"debut_10";14
"Bazinghen";"I2Q3";60;"debut_10";9
"Bazinghen";"I3Q2";75;"debut_10";14
"Bazinghen";"I3Q3";60;"debut_10";15
"Confluence";"I4Q1";70;"debut_10";13
"Confluence";"I4Q2";55;"debut_10";19
"Confluence";"I4Q3";50;"debut_10";14
"Slack";"I5Q2";50;"debut_10";20
"Slack";"I7Q1";35;"debut_10";14
"Slack";"I7Q3";40;"debut_10";17
"Bazinghen";"I8Q1";30;"debut_10";16
"Confluence";"I9Q1";30;"debut_10";9
"Confluence";"I9Q2";45;"debut_10";20
